=== BATCH A (29 Qs) ===
prio-001 | À une intersection sans signalisation, quelle règle s'applique ? || A: Priorité au véhicule venant de droite | B: Priorité au premier arrivé | C: Priorité au véhicule le plus gros | D: Priorité au véhicule venant de gauche || CORRECT: A
s41-032 | Quelles sont vos obligations face à un agent de la circulation ? || A: Ses indications priment sur les feux et panneaux | B: Vous devez obéir immédiatement à ses gestes | C: Vous pouvez ignorer ses gestes si le feu est vert | D: Un bras levé signifie arrêt pour tous les usagers || CORRECT: A+B+D
s41-034 | Quelles règles s'appliquent aux intersections avec des feux tricolores ? || A: Le feu orange fixe signifie arrêt sauf impossibilité | B: Le feu rouge interdit de franchir la ligne d'arrêt | C: Le feu orange clignotant signifie priorité à droite | D: On peut passer au rouge si la voie est libre || CORRECT: A+B+C
s42-018 | Quelles règles s'appliquent quand deux véhicules arrivent en même temps à un STOP ? || A: Le véhicule venant de droite a la priorité | B: Les deux doivent marquer l'arrêt complet | C: Le plus gros véhicule passe en premier | D: La courtoisie et le contact visuel déterminent qui passe || CORRECT: A+B+D
s42-019 | Quelles affirmations sont vraies sur le panneau 'route prioritaire' (losange jaune) ? || A: Vous avez la priorité à toutes les intersections suivantes | B: Il est annulé par le panneau de fin de route prioritaire | C: Les autres véhicules ont un panneau Cédez le passage ou STOP | D: Vous pouvez rouler aussi vite que vous voulez || CORRECT: A+B+C
s42-022 | Quelles affirmations sur les voies de bus avec priorité sont correctes ? || A: Un bus quittant un arrêt a la priorité en agglomération | B: Vous devez le laisser s'insérer dans la circulation | C: Cette règle s'applique aussi hors agglomération | D: Le bus doit signaler avec son clignotant || CORRECT: A+B+D
s42-023 | Quelles règles de priorité s'appliquent aux véhicules d'urgence ? || A: Ils ont la priorité quand gyrophare et sirène sont en marche | B: Vous devez vous rabattre à droite et vous arrêter si nécessaire | C: Vous pouvez griller un feu rouge pour leur céder le passage | D: Il est interdit de les suivre de près || CORRECT: A+B+D
s42-024 | Quelles affirmations sont correctes sur le Cédez le passage (triangle inversé) ? || A: Vous devez céder le passage sans forcément vous arrêter | B: Vous devez vous arrêter si un véhicule arrive | C: Il est identique au STOP dans ses effets | D: Il annule la priorité à droite à cette intersection || CORRECT: A+B+D

=== BATCH D (0 Qs) ===

=== BATCH E (15 Qs) ===
prio-003 | Dans un rond-point (giratoire), qui a la priorité ? || A: Les véhicules déjà engagés dans le rond-point | B: Les véhicules qui entrent dans le rond-point | C: Les véhicules les plus rapides | D: Les véhicules venant de droite || CORRECT: A
prio-007 | Dans un rond-point (carrefour giratoire), qui a la priorité ? || A: Les véhicules qui entrent dans le rond-point | B: Les véhicules déjà engagés dans le rond-point | C: Les véhicules les plus rapides | D: Les poids lourds || CORRECT: B
prio-018 | Le panneau de route prioritaire (losange jaune) s'applique-t-il dans un carrefour giratoire ? || A: Oui, vous gardez la priorité | B: Non, dans un giratoire les véhicules engagés ont toujours la priorité | C: Seulement si vous venez de la route principale | D: Le panneau est annulé par le giratoire || CORRECT: B
prio-041 | Quelle est la règle de priorité dans un rond-point équipé de feux tricolores ? || A: Les feux tricolores prévalent sur la règle du rond-point | B: La priorité à droite s'applique même si les feux sont verts | C: Les véhicules dans le rond-point ont toujours la priorité | D: Les feux sont seulement indicatifs dans un rond-point || CORRECT: A
prio-053 | Quelles affirmations sont correctes concernant la priorité dans un rond-point ? || A: Les véhicules déjà engagés dans le rond-point ont la priorité | B: Vous devez mettre votre clignotant à droite pour sortir du rond-point | C: La priorité à droite s'applique dans un rond-point | D: Vous pouvez entrer dans le rond-point sans regarder à gauche || CORRECT: A+B
media-081 | Le vehicule bleu souhaite entrer dans le rond-point. Le vehicule rouge circule deja a l'interieur. Qui a la priorite? || A: Le vehicule bleu car il vient de la droite | B: Le vehicule rouge car il est deja dans le rond-point | C: Le premier arrive au rond-point | D: Le vehicule le plus gros || CORRECT: B
prio-113 | Qui a la priorité dans un rond-point en France ? || A: Les véhicules déjà dans le rond-point | B: Les véhicules qui entrent dans le rond-point | C: Les véhicules les plus rapides | D: Les véhicules venant de la gauche || CORRECT: A
prio-121 | Vous arrivez à un rond-point. Qui a la priorité ? || A: Vous, car vous êtes sur la route principale | B: Les véhicules déjà engagés dans le rond-point | C: Le véhicule le plus rapide | D: Les véhicules venant de droite (priorité à droite) || CORRECT: B
media-153 | Vous approchez d'un carrefour giratoire indiqué par ce panneau. Qui a la priorité ? || A: Les véhicules déjà engagés dans le giratoire | B: Vous, car vous venez de la droite | C: Les piétons sur le trottoir | D: Le véhicule le plus rapide || CORRECT: A
prio-131 | Quelles affirmations sont correctes concernant la priorité à un carrefour giratoire ? (2 réponses) || A: Les véhicules déjà dans le rond-point ont la priorité | B: Vous devez mettre votre clignotant à droite en sortant du rond-point | C: Vous avez la priorité en entrant grâce à la priorité à droite | D: Vous n'avez jamais besoin de clignotant dans un rond-point || CORRECT: A+B
prio-156 | Quelles règles s'appliquent à un carrefour giratoire (rond-point) ? || A: Les véhicules déjà engagés dans le giratoire ont la priorité | B: Vous devez céder le passage avant d'entrer dans le giratoire | C: La priorité à droite s'applique dans le giratoire | D: Vous pouvez entrer directement si aucun véhicule n'est visible || CORRECT: A+B
prio-164 | À l'approche d'un rond-point, quelles règles de priorité s'appliquent ? || A: Vous devez céder le passage aux véhicules déjà engagés dans le rond-point | B: Vous pouvez accélérer pour entrer avant les véhicules venant de la gauche | C: Un panneau 'cédez le passage' confirme cette obligation | D: Les véhicules dans le rond-point doivent vous laisser entrer || CORRECT: A+C
prio-193 | Quelles affirmations sont correctes sur les intersections en forme de cercle ? || A: Sur un rond-point avec panneau 'cédez le passage', les véhicules à l'intérieur ont la priorité | B: Il faut toujours vérifier la signalisation avant d'entrer | C: On circule toujours dans le sens des aiguilles d'une montre | D: Il faut signaler sa sortie avec le clignotant droit || CORRECT: A+B+D
s41-030 | Quelles règles s'appliquent à un carrefour giratoire (rond-point) ? || A: Céder le passage aux véhicules déjà engagés | B: Mettre son clignotant pour sortir | C: Accélérer pour entrer rapidement | D: Circuler dans le sens inverse des aiguilles d'une montre || CORRECT: A+B+D
scen-001 | Vous approchez de ce rond-point. Quelles actions devez-vous effectuer ? || A: Céder le passage aux véhicules déjà engagés dans le rond-point | B: Mettre le clignotant à gauche pour entrer | C: Accélérer pour s'insérer rapidement avant les autres | D: Ralentir et vérifier la circulation venant de la gauche || CORRECT: A+D

=== BATCH F (35 Qs) ===
prio-004 | Un véhicule d'urgence (pompiers, SAMU) approche avec sirène et gyrophare. Que devez-vous faire ? || A: Vous ranger sur le côté droit pour le laisser passer | B: Accélérer pour ne pas le gêner | C: Continuer normalement | D: S'arrêter immédiatement sur place || CORRECT: A
prio-009 | Sur une route avec un panneau losange jaune, avez-vous la priorité ? || A: Oui, vous êtes sur une route prioritaire | B: Non, c'est un panneau de danger | C: Seulement en agglomération | D: Seulement si vous allez tout droit || CORRECT: A
prio-011 | Que devez-vous faire quand un agent de police règle la circulation ? || A: Suivre les indications de l'agent, même si elles contredisent les feux | B: Toujours suivre les feux de signalisation | C: Demander à l'agent pourquoi il contredit les feux | D: Choisir entre l'agent et les feux || CORRECT: A
prio-013 | Un agent de police dirige la circulation et le feu est vert. Qui devez-vous suivre ? || A: Le feu vert | B: L'agent de police | C: Le plus pratique des deux | D: Les autres véhicules || CORRECT: B
prio-022 | Dans un passage étroit en pente avec un panneau de priorité, qui passe en premier ? || A: Toujours le véhicule qui monte | B: Le véhicule indiqué par le panneau de priorité | C: Le véhicule le plus léger | D: Le premier arrivé au passage || CORRECT: B
prio-024 | Un agent de police se tient face à vous, bras levés verticalement. Que devez-vous faire ? || A: Vous arrêter | B: Passer, la voie est libre | C: Tourner à droite | D: Ralentir et être prêt à s'arrêter || CORRECT: A
prio-027 | Lorsque vous vous insérez sur une autoroute depuis une voie d'accélération, qui a la priorité ? || A: Vous, car vous êtes sur la voie d'accélération | B: Les véhicules déjà sur l'autoroute | C: Le véhicule le plus rapide | D: La priorité est partagée à parts égales || CORRECT: B
prio-029 | Que signifie une flèche verte de filtre (flèche directionnelle) sur un feu tricolore ? || A: Vous pouvez aller dans la direction de la flèche, même si le feu principal est rouge | B: Vous devez obligatoirement aller dans cette direction | C: La voie dans cette direction est fermée | D: C'est un feu pour les piétons uniquement || CORRECT: A
prio-031 | Un convoi funéraire traverse un carrefour. Que devez-vous faire ? || A: Couper le convoi si votre feu est vert | B: Ne pas couper le convoi et attendre qu'il soit passé | C: Klaxonner pour signaler votre présence | D: Appeler la police car le convoi bloque la circulation || CORRECT: B
prio-032 | Que signifie un appel de phares de la part d'un conducteur venant en face ? || A: Il signale un danger ou vous avertit d'un problème (pas une invitation à passer) | B: Il vous cède la priorité | C: Il vous demande d'accélérer | D: Il signale que la route est libre || CORRECT: A
prio-034 | Que devez-vous faire face à un feu tricolore temporaire rouge sur une zone de travaux ? || A: S'arrêter et attendre le feu vert, comme un feu permanent | B: S'arrêter puis avancer si la voie est libre | C: Ralentir et passer si aucun véhicule n'arrive en face | D: Ignorer le feu si des ouvriers font signe de passer || CORRECT: A
prio-037 | Qui a la priorité absolue sur la route, même sur les feux et les panneaux ? || A: Les agents de la circulation (policiers, gendarmes) | B: Les ambulances avec sirène et gyrophare | C: Les bus de transport en commun | D: Les convois exceptionnels || CORRECT: A
prio-039 | Lorsqu'un véhicule d'urgence arrive derrière vous avec sirène et gyrophare, que devez-vous faire ? || A: Ralentir et vous ranger sur le côté droit pour dégager le passage | B: Accélérer pour ne pas gêner | C: Freiner brusquement et s'arrêter sur place | D: Allumer les feux de détresse et continuer normalement || CORRECT: A
prio-040 | Dans une impasse, quelle est la règle de priorité lorsque deux véhicules se croisent et que l'un doit reculer ? || A: Le véhicule qui entre dans l'impasse doit reculer pour laisser sortir celui qui en sort | B: Le véhicule qui sort de l'impasse doit reculer | C: Le plus petit véhicule doit reculer | D: Le dernier arrivé doit toujours reculer || CORRECT: A
media-020 | Un vehicule d'urgence arrive derriere vous avec le gyrophare. Que faites-vous ? || A: Accelerer pour lui laisser de la place | B: Se ranger a droite et s'arreter si necessaire | C: Continuer normalement | D: S'arreter immediatement sur place || CORRECT: B
media-059 | A ce carrefour sans signalisation, 4 vehicules arrivent en meme temps. Qui passe en premier? || A: Situation de blocage: un conducteur doit ceder sa priorite par courtoisie | B: Le vehicule le plus rapide | C: Le vehicule rouge car il vient du nord | D: Ils passent tous en meme temps || CORRECT: A
media-060 | Le feu est rouge mais une fleche verte clignotante pointe vers la droite. Pouvez-vous tourner a droite? || A: Oui, en cedant le passage aux pietons et vehicules prioritaires | B: Non, le feu rouge interdit tout mouvement | C: Oui, sans aucune restriction | D: Uniquement si aucun vehicule ne vient en face || CORRECT: A
media-062 | Le vehicule rouge a un panneau cedez-le-passage et souhaite rejoindre la route principale ou circule le vehicule bleu. Que doit faire le rouge? || A: S'arreter completement puis avancer | B: Ralentir et ceder le passage au bleu sans s'arreter obligatoirement | C: Accelerer pour s'inserer avant le bleu | D: Klaxonner pour signaler sa presence || CORRECT: B
prio-060 | Quel panneau indique une route prioritaire ? || A: Un losange jaune | B: Un cercle bleu | C: Un triangle rouge | D: Un rectangle vert || CORRECT: A
media-107 | Que signifie ce panneau en losange jaune ? || A: Danger | B: Zone 30 | C: Route prioritaire | D: Fin de toutes les interdictions || CORRECT: C
prio-122 | Quel véhicule a TOUJOURS la priorité, même au feu rouge ? || A: Les bus | B: Les taxis | C: Les véhicules prioritaires (pompiers, SAMU) en intervention | D: Les camions de livraison || CORRECT: C
prio-123 | Quelles affirmations sont correctes concernant la priorité des piétons ? (2 réponses) || A: Les piétons engagés sur un passage piéton ont toujours la priorité | B: Un piéton qui traverse en dehors d'un passage piéton perd automatiquement la priorité | C: En zone de rencontre, le piéton est prioritaire sur tous les véhicules | D: Les piétons doivent toujours attendre que tous les véhicules soient passés || CORRECT: A+C
prio-125 | Quelles sont les obligations du conducteur face à un bus scolaire à l'arrêt ? (2 réponses) || A: Ralentir et être prêt à s'arrêter | B: Faire attention aux enfants qui peuvent traverser | C: Dépasser rapidement le bus pour ne pas bloquer la circulation | D: Klaxonner pour avertir les enfants de votre présence || CORRECT: A+B
prio-126 | Quelles affirmations sont correctes concernant les feux tricolores avec des flèches directionnelles ? (2 réponses) || A: Une flèche verte vous autorise à aller uniquement dans la direction indiquée | B: Une flèche verte de filtre permet de passer même si le feu principal est rouge | C: Une flèche rouge signifie que vous ne pouvez pas aller dans cette direction | D: Les flèches directionnelles ne concernent que les poids lourds || CORRECT: A+B
prio-160 | Quelles règles s'appliquent quand un bus quitte son arrêt en agglomération ? || A: Vous devez faciliter sa réinsertion dans la circulation | B: Le bus a la priorité quand il signale son intention de repartir | C: Le bus n'a aucune priorité, c'est à lui de s'insérer | D: Cette règle ne s'applique qu'aux bus scolaires || CORRECT: A+B
prio-161 | Quelle est la hiérarchie de priorité entre les différentes signalisations ? || A: L'agent de police prime sur les feux et les panneaux | B: Les feux tricolores priment sur les panneaux de priorité | C: Les panneaux priment toujours sur les feux | D: Le marquage au sol prime sur les panneaux || CORRECT: A+B
prio-163 | Quelles affirmations sont correctes sur la priorité des tramways ? || A: Les tramways ont toujours la priorité sauf signalisation contraire | B: Il est interdit de stationner ou de s'arrêter sur les voies de tramway | C: Les tramways doivent respecter les feux tricolores comme les voitures | D: Le tramway peut s'arrêter rapidement, vous n'avez pas besoin d'anticiper || CORRECT: A+B
prio-166 | Un véhicule de pompiers arrive derrière vous avec le gyrophare et la sirène. Que devez-vous faire ? || A: Vous ranger sur le côté droit de la chaussée dès que possible | B: Accélérer pour dégager la voie plus rapidement | C: Réduire votre vitesse pour faciliter son dépassement | D: Continuer normalement car les pompiers doivent vous contourner || CORRECT: A+C
prio-171 | Vous arrivez à une intersection où un agent de police dirige la circulation. Parmi ces affirmations, lesquelles sont exactes ? || A: Les gestes de l'agent prévalent sur les feux tricolores | B: Les gestes de l'agent prévalent sur les panneaux de signalisation | C: Vous devez suivre les feux car ils sont automatiques | D: L'agent ne peut diriger que les piétons, pas les véhicules || CORRECT: A+B
prio-185 | Dans quelles situations un agent de la circulation peut-il modifier les règles de priorité ? || A: En cas de panne de feux tricolores | B: Lors d'un événement spécial nécessitant une régulation | C: Uniquement pendant les heures de pointe | D: Les gestes de l'agent prévalent sur toute signalisation || CORRECT: A+B+D
prio-188 | Quelles sont les règles de priorité pour les tramways ? || A: Le tramway a la priorité dans la plupart des situations | B: Il faut respecter les feux spécifiques au tramway | C: On peut traverser les voies de tramway quand il n'y a pas de train visible | D: Il est interdit de stationner sur les voies de tramway || CORRECT: A+B+D
prio-191 | Quelles sont les sanctions pour le non-respect d'un feu rouge ? || A: Une amende de 135 € (4e classe) | B: Un retrait de 4 points sur le permis | C: Un retrait de 1 point uniquement si détecté par radar | D: Une suspension possible du permis de conduire || CORRECT: A+B+D
prio-192 | Quelle est la hiérarchie des signaux de priorité ? || A: L'agent de la circulation prévaut sur tout | B: Les feux tricolores prévalent sur les panneaux | C: Les panneaux prévalent sur le marquage au sol | D: Le marquage au sol prévaut sur les panneaux || CORRECT: A+B+C
s41-031 | Quelles affirmations concernant le panneau STOP sont correctes ? || A: L'arrêt est obligatoire même si la voie est libre | B: On doit s'arrêter à la ligne d'effet du panneau | C: On peut ralentir sans s'arrêter si la visibilité est bonne | D: Le non-respect est sanctionné par un retrait de 4 points || CORRECT: A+B+D
scen-003 | Face à cette situation, quelles sont vos obligations ? || A: S'arrêter avant la ligne d'arrêt | B: Attendre que tous les piétons aient fini de traverser | C: Avancer lentement pour se préparer au feu vert | D: Ne pas s'engager sur le passage piéton || CORRECT: A+B+D

